 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.94169832e-07  0.00000000e+00  1.19897567e+00  0.00000000e+00  1.19942885e+00  0.00000000e+00  1.00000000e-01 
 5.00000000e-10  7.76253653e-02  5.00000000e-10  2.47384218e-04  5.00000000e-10  1.20797302e+00  5.00000000e-10  1.22950857e+00  5.00000000e-10  1.00100000e-01 
 5.87138652e-10  9.11163158e-02  5.87138652e-10  2.28699540e-04  5.87138652e-10  1.20956641e+00  5.87138652e-10  1.23373308e+00  5.87138652e-10  1.00117428e-01 
 7.61415956e-10  1.18018314e-01  7.61415956e-10  1.88174640e-04  7.61415956e-10  1.21276069e+00  7.61415956e-10  1.24041550e+00  7.61415956e-10  1.00152283e-01 
 1.10997056e-09  1.71469829e-01  1.10997056e-09  1.44299608e-04  1.10997056e-09  1.21882317e+00  1.10997056e-09  1.24871263e+00  1.10997056e-09  1.00221994e-01 
 1.43746296e-09  2.21193544e-01  1.43746296e-09  1.30849300e-04  1.43746296e-09  1.22300568e+00  1.43746296e-09  1.25308140e+00  1.43746296e-09  1.00287493e-01 
 1.85904940e-09  2.84334108e-01  1.85904940e-09  1.28668556e-04  1.85904940e-09  1.21259210e+00  1.85904940e-09  1.25687717e+00  1.85904940e-09  1.00371810e-01 
 2.26820414e-09  3.44664532e-01  2.26820414e-09  1.33769004e-04  2.26820414e-09  1.14734072e+00  2.26820414e-09  1.26014083e+00  2.26820414e-09  1.00453641e-01 
 2.60622844e-09  3.93778421e-01  2.60622844e-09  1.40332456e-04  2.60622844e-09  9.86851086e-01  2.60622844e-09  1.26307559e+00  2.60622844e-09  1.00521246e-01 
 2.79821905e-09  4.21356777e-01  2.79821905e-09  1.46162560e-04  2.79821905e-09  8.33653976e-01  2.79821905e-09  1.26491851e+00  2.79821905e-09  1.00559644e-01 
 2.88728097e-09  4.34074765e-01  2.88728097e-09  1.72540755e-04  2.88728097e-09  7.53485857e-01  2.88728097e-09  1.26582551e+00  2.88728097e-09  1.00577456e-01 
 2.97406934e-09  4.46423715e-01  2.97406934e-09  2.68544941e-04  2.97406934e-09  6.74895941e-01  2.97406934e-09  1.26675539e+00  2.97406934e-09  1.00594814e-01 
 3.03335923e-09  4.54838623e-01  3.03335923e-09  4.70975511e-04  3.03335923e-09  6.26556866e-01  3.03335923e-09  1.26743394e+00  3.03335923e-09  1.00606672e-01 
 3.10462150e-09  4.64933826e-01  3.10462150e-09  8.79079798e-04  3.10462150e-09  5.81526999e-01  3.10462150e-09  1.26830037e+00  3.10462150e-09  1.00620924e-01 
 3.18358099e-09  4.76089042e-01  3.18358099e-09  1.23563716e-03  3.18358099e-09  5.44967104e-01  3.18358099e-09  1.26927657e+00  3.18358099e-09  1.00636716e-01 
