 0.00000000e+00  5.50000000e-01  0.00000000e+00  1.20000000e+00 
 1.00000000e-13  5.50032973e-01  1.00000000e-13  1.19999969e+00 
 2.00000000e-13  5.50049191e-01  2.00000000e-13  1.19999940e+00 
 4.00000000e-13  5.50075810e-01  4.00000000e-13  1.19999885e+00 
 8.00000000e-13  5.50125744e-01  8.00000000e-13  1.19999780e+00 
 1.60000000e-12  5.50225380e-01  1.60000000e-12  1.19999570e+00 
 3.20000000e-12  5.50423871e-01  3.20000000e-12  1.19999148e+00 
 6.40000000e-12  5.50820546e-01  6.40000000e-12  1.19998278e+00 
 1.00000000e-11  5.51272082e-01  1.00000000e-11  1.19997225e+00 
 1.06400000e-11  5.51352480e-01  1.06400000e-11  1.19997028e+00 
 1.19200000e-11  5.51514013e-01  1.19200000e-11  1.19996628e+00 
 1.44800000e-11  5.51837149e-01  1.44800000e-11  1.19995796e+00 
 1.96000000e-11  5.52473361e-01  1.96000000e-11  1.19994031e+00 
 2.98400000e-11  5.53672493e-01  2.98400000e-11  1.19990191e+00 
 4.98400000e-11  5.55724222e-01  4.98400000e-11  1.19981678e+00 
 6.98400000e-11  5.57459363e-01  6.98400000e-11  1.19972017e+00 
 8.98400000e-11  5.58963331e-01  8.98400000e-11  1.19961690e+00 
 1.09840000e-10  5.60342481e-01  1.09840000e-10  1.19951216e+00 
 1.29840000e-10  5.61733848e-01  1.29840000e-10  1.19940354e+00 
 1.49840000e-10  5.63125403e-01  1.49840000e-10  1.19929004e+00 
 1.69840000e-10  5.64490237e-01  1.69840000e-10  1.19917109e+00 
 1.89840000e-10  5.65833523e-01  1.89840000e-10  1.19904545e+00 
 2.09840000e-10  5.67166310e-01  2.09840000e-10  1.19891288e+00 
 2.29840000e-10  5.68496925e-01  2.29840000e-10  1.19877528e+00 
 2.49840000e-10  5.69801345e-01  2.49840000e-10  1.19863785e+00 
 2.69840000e-10  5.71044964e-01  2.69840000e-10  1.19850706e+00 
 2.89840000e-10  5.72225691e-01  2.89840000e-10  1.19838683e+00 
 3.09840000e-10  5.73339347e-01  3.09840000e-10  1.19827730e+00 
 3.29840000e-10  5.74367035e-01  3.29840000e-10  1.19817387e+00 
 3.49840000e-10  5.75263057e-01  3.49840000e-10  1.19807284e+00 
 3.69840000e-10  5.76039961e-01  3.69840000e-10  1.19797149e+00 
 3.89840000e-10  5.76752357e-01  3.89840000e-10  1.19786765e+00 
 4.09840000e-10  5.77421702e-01  4.09840000e-10  1.19776313e+00 
 4.29840000e-10  5.78003946e-01  4.29840000e-10  1.19766592e+00 
 4.49840000e-10  5.78498547e-01  4.49840000e-10  1.19758248e+00 
 4.69840000e-10  5.78995720e-01  4.69840000e-10  1.19750603e+00 
 4.89840000e-10  5.79482945e-01  4.89840000e-10  1.19742901e+00 
 5.09840000e-10  5.79936338e-01  5.09840000e-10  1.19734799e+00 
 5.29840000e-10  5.80391588e-01  5.29840000e-10  1.19725983e+00 
 5.49840000e-10  5.80877177e-01  5.49840000e-10  1.19716409e+00 
 5.69840000e-10  5.81373197e-01  5.69840000e-10  1.19706534e+00 
 5.89840000e-10  5.81864231e-01  5.89840000e-10  1.19696931e+00 
 6.09840000e-10  5.82354999e-01  6.09840000e-10  1.19687957e+00 
 6.29840000e-10  5.82822112e-01  6.29840000e-10  1.19679804e+00 
 6.49840000e-10  5.83250834e-01  6.49840000e-10  1.19672271e+00 
 6.69840000e-10  5.83640258e-01  6.69840000e-10  1.19665071e+00 
 6.89840000e-10  5.83961667e-01  6.89840000e-10  1.19657899e+00 
 7.09840000e-10  5.84241520e-01  7.09840000e-10  1.19650433e+00 
 7.29840000e-10  5.84490282e-01  7.29840000e-10  1.19642887e+00 
 7.49840000e-10  5.84675135e-01  7.49840000e-10  1.19636127e+00 
 7.69840000e-10  5.84809575e-01  7.69840000e-10  1.19630890e+00 
 7.89840000e-10  5.84953102e-01  7.89840000e-10  1.19626923e+00 
